                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.73925,                 1.2358,                0.59557,                 1.0843,                0.94741,                0.87131,                0.91024,                0.74852,                0.81072,                0.73246,                0.67021,                0.51511,                0.72885,                  1.468,                0.56078,                0.95666,               0.000557,               0.000557,               0.000557
                     58,                0.75166,                 1.2177,                0.58495,                 1.0856,                0.92883,                0.88738,                0.91201,                0.74219,                0.78326,                0.74648,                0.68079,                0.50598,                0.72465,                 1.4624,                0.55493,                0.94663,             0.00054463,             0.00054463,             0.00054463
                     59,                0.72536,                 1.1793,                0.57899,                 1.0787,                0.93818,                0.88129,                0.91036,                0.75461,                0.78998,                0.74215,                0.67653,                0.51659,                0.70457,                  1.435,                0.53341,                0.93128,             0.00053225,             0.00053225,             0.00053225
                     60,                0.73435,                 1.2165,                0.57959,                 1.0767,                0.92367,                0.87918,                0.90892,                 0.7525,                0.80134,                0.71934,                0.69184,                0.51799,                0.72283,                 1.5625,                0.54324,                0.94264,             0.00051988,             0.00051988,             0.00051988
                     61,                0.71691,                 1.1858,                0.56318,                   1.07,                0.93402,                0.88427,                0.91506,                0.77189,                0.77933,                0.74155,                0.67615,                0.52658,                0.62442,                 1.3672,                 0.5182,                0.91341,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70836,                 1.1559,                0.56246,                 1.0663,                0.95527,                0.88871,                  0.912,                0.75096,                0.80863,                0.73799,                 0.6745,                0.52121,                0.69558,                 1.4079,                0.52658,                0.94277,             0.00049513,             0.00049513,             0.00049513
                     63,                0.71585,                  1.181,                0.56527,                 1.0664,                0.95011,                0.87684,                0.90668,                0.73621,                0.80327,                0.74301,                 0.6731,                 0.5098,                0.73879,                 1.4825,                0.56163,                0.93873,             0.00048275,             0.00048275,             0.00048275
                     64,                0.70848,                 1.1651,                0.56861,                 1.0631,                0.94776,                0.86605,                0.90901,                 0.7608,                0.80733,                0.73632,                0.68114,                0.52647,                0.65401,                 1.2772,                0.53921,                0.92376,             0.00047038,             0.00047038,             0.00047038
                     65,                0.71894,                 1.1861,                 0.5618,                  1.073,                0.94438,                0.86674,                 0.9112,                0.74622,                0.80336,                0.73673,                0.67117,                 0.5074,                 0.7009,                 1.4542,                 0.5353,                0.94095,               0.000458,               0.000458,               0.000458
                     66,                0.71365,                 1.1571,                0.56508,                 1.0704,                0.93343,                0.88963,                0.91332,                0.75591,                0.79663,                0.75178,                0.68654,                  0.516,                0.65369,                 1.3823,                0.52309,                0.91703,             0.00044563,             0.00044563,             0.00044563
                     67,                0.71045,                 1.1351,                 0.5582,                 1.0701,                0.93744,                0.88588,                0.91625,                0.75834,                0.79875,                0.75304,                0.69229,                0.52697,                0.68802,                 1.3949,                0.52564,                 0.9211,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.6948,                 1.1448,                0.55545,                 1.0655,                0.93492,                0.88986,                0.91076,                0.74551,                0.79805,                 0.7458,                0.68117,                0.51309,                0.69408,                 1.4733,                0.54203,                0.92839,             0.00042087,             0.00042087,             0.00042087
                     69,                0.70099,                 1.1202,                0.55267,                 1.0644,                0.95845,                0.87989,                0.91375,                0.76116,                0.81245,                0.73907,                0.68223,                0.52452,                 0.6656,                  1.326,                0.54583,                0.91775,              0.0004085,              0.0004085,              0.0004085
                     70,                0.69637,                 1.1535,                0.54605,                 1.0572,                0.96254,                0.87311,                0.91602,                0.75463,                 0.8169,                0.74031,                0.68361,                0.52204,                0.67927,                 1.4793,                0.51777,                0.91621,             0.00039613,             0.00039613,             0.00039613
                     71,                0.70055,                 1.1781,                 0.5538,                 1.0617,                 0.9622,                0.87722,                0.91374,                0.74583,                0.80405,                0.72365,                0.67246,                0.51341,                 0.6949,                  1.441,                0.51764,                0.92896,             0.00038375,             0.00038375,             0.00038375
